#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
7deff0f0a4b24e16701e9c213f7e4e6b;size=1085;	0	0	0	0	0	0	0	0	0	0	0	0	0	681	0	0	0	166	0	13	84	41	0	0	0	0	0	0	17	0	0	0	48	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a53beadda635afc4227cfeb6683fd58d;size=1079;	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	975	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
df7f2fe5cb1ce6e1d16013c2de79ea8f;size=1067;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067	0	0
2ddb3dceb8573abf0cff1454868a1d61;size=1063;	0	0	0	0	853	0	0	0	1	0	0	0	17	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8dc9fcd5842b03d9be2af842d8011aec;size=1046;	0	0	0	0	0	0	0	0	0	1	0	0	0	420	0	10	0	599	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e46a6dca7d729eb5ae3ae518aaafc70;size=1035;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	212	0	88	203	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0
2c6a07ed2a512f21c412dfdc0a20e141;size=1028;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969	0	0	0	0	0	10	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40ba86607556bc993d191c4535a8f46a;size=1021;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	210	0	0	0	0	40	0	4	51	0	0	0	0	0	0	0	26	29	0	0	0	21	0	0	62	0	0	0	0	0	0	0	0	24	0	0	0	0	0
a5c69f62b4734fb9c0b032336c4b5c39;size=1014;	0	11	0	0	14	0	0	0	0	0	0	6	15	121	15	10	0	5	0	17	46	11	0	53	13	27	0	5	9	0	26	0	4	6	82	12	79	24	20	36	40	5	0	5	94	14	10	0	0	30	7	18	15	0	0	0	15	16	3	0	0	0	26	0	0	25	0	9	0	15	0	0
f6c1b26794e876aca9a2d15f99af403e;size=1014;	0	0	3	0	0	0	0	0	0	0	0	0	877	0	65	15	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
52968f71ec5fc9e0bf2ed20e2a102e96;size=1006;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	24	0	383	2	0	222	52	155	146	0	12	0	0	0	0	0	0	0	0	0	0	0
3c1b084f8ede1979af81a13b3e3c8590;size=998;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	0	0
137a81b94556ef27668893c4d15c5e6b;size=997;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	8	0	0	0	0	6	94	0	16	0	37	11	20	0	11	425	0	25	39	0	1	0	0	0	0	0	7	148	32	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
